,Sr. No.,State,District,Policestation,Year,FIR_No.,Registration_Date,Section
0,1,MAHARASHTRA,THANE CITY,AMBERNATH,2023,75,01-02-2023 12:09,Indian Electricity Act (Reform) 2003 - 135;
1,2,MAHARASHTRA,THANE CITY,AMBERNATH,2023,74,01-02-2023 11:58,Indian Electricity Act (Reform) 2003 - 135;
2,3,MAHARASHTRA,THANE CITY,AMBERNATH,2023,73,01-02-2023 02:59,Indian Penal Code 180 - 373;
3,4,MAHARASHTRA,THANE CITY,AMBERNATH,2023,72,31-01-2023 21:31,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
4,5,MAHARASHTRA,THANE CITY,AMBERNATH,2023,71,31-01-2023 19:43,"Maharashtra Darubandi Act, 1979 - 65 (E);"
5,6,MAHARASHTRA,THANE CITY,AMBERNATH,2023,70,31-01-2023 11:34,Indian Electricity Act (Reform) 2003 - 135;
6,7,MAHARASHTRA,THANE CITY,AMBERNATH,2023,69,30-01-2023 12:18,Indian Penal Code 180 - 243;
7,8,MAHARASHTRA,THANE CITY,AMBERNATH,2023,68,30-01-2023 11:35,Indian Penal Code 180 - 243;
8,9,MAHARASHTRA,THANE CITY,AMBERNATH,2023,67,29-01-2023 23:21,"Indian Penal Code 180 - 323,326,507,507;"
9,10,MAHARASHTRA,THANE CITY,AMBERNATH,2023,66,29-01-2023 13:42,Indian Electricity Act (Reform) 2003 - 135;
10,11,MAHARASHTRA,THANE CITY,AMBERNATH,2023,65,29-01-2023 13:01,Indian Electricity Act (Reform) 2003 - 135;
11,12,MAHARASHTRA,THANE CITY,AMBERNATH,2023,64,28-01-2023 15:07,Indian Electricity Act (Reform) 2003 - 135;
12,13,MAHARASHTRA,THANE CITY,AMBERNATH,2023,63,28-01-2023 14:24,Indian Electricity Act (Reform) 2003 - 135;
13,14,MAHARASHTRA,THANE CITY,AMBERNATH,2023,62,28-01-2023 12:55,Indian Penal Code 180 - 243;
14,15,MAHARASHTRA,THANE CITY,AMBERNATH,2023,61,26-01-2023 22:16,"Indian Penal Code 180 - 307,326,506 (2);"
15,16,MAHARASHTRA,THANE CITY,AMBERNATH,2023,60,26-01-2023 14:56,Indian Penal Code 180 - 243;
16,17,MAHARASHTRA,THANE CITY,AMBERNATH,2023,59,26-01-2023 14:37,Indian Penal Code 180 - 243;
17,18,MAHARASHTRA,THANE CITY,AMBERNATH,2023,58,25-01-2023 14:01,Indian Penal Code 180 - 379;
18,19,MAHARASHTRA,THANE CITY,AMBERNATH,2023,57,25-01-2023 13:25,Indian Penal Code 180 - 243;
19,20,MAHARASHTRA,THANE CITY,AMBERNATH,2023,56,25-01-2023 12:11,Indian Electricity Act (Reform) 2003 - 135;
20,21,MAHARASHTRA,THANE CITY,AMBERNATH,2023,55,25-01-2023 11:31,Indian Electricity Act (Reform) 2003 - 135;
21,22,MAHARASHTRA,THANE CITY,AMBERNATH,2023,54,25-01-2023 03:29,"Maharashtra Police Act, 1951 - 135,142,37 (1);"
22,23,MAHARASHTRA,THANE CITY,AMBERNATH,2023,53,25-01-2023 02:28,"Maharashtra Police Act, 1951 - 142;"
23,24,MAHARASHTRA,THANE CITY,AMBERNATH,2023,52,25-01-2023 01:03,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
24,25,MAHARASHTRA,THANE CITY,AMBERNATH,2023,51,25-01-2023 00:32,"Maharashtra Darubandi Act, 1979 - 65 (E);"
25,26,MAHARASHTRA,THANE CITY,AMBERNATH,2023,50,23-01-2023 14:42,Indian Electricity Act (Reform) 2003 - 135;
26,27,MAHARASHTRA,THANE CITY,AMBERNATH,2023,49,23-01-2023 12:08,Indian Electricity Act (Reform) 2003 - 135;
27,28,MAHARASHTRA,THANE CITY,AMBERNATH,2023,48,21-01-2023 03:02,"Maharashtra Police Act, 1951 - 135,142,37 (1);"
28,29,MAHARASHTRA,THANE CITY,AMBERNATH,2023,47,19-01-2023 20:38,Indian Electricity Act (Reform) 2003 - 135;
29,30,MAHARASHTRA,THANE CITY,AMBERNATH,2023,46,19-01-2023 18:31,Indian Electricity Act (Reform) 2003 - 135;
30,31,MAHARASHTRA,THANE CITY,AMBERNATH,2023,45,19-01-2023 02:13,Indian Penal Code 180 - 373;
31,32,MAHARASHTRA,THANE CITY,AMBERNATH,2023,44,18-01-2023 12:13,Indian Electricity Act (Reform) 2003 - 135;
32,33,MAHARASHTRA,THANE CITY,AMBERNATH,2023,43,18-01-2023 11:44,Indian Electricity Act (Reform) 2003 - 135;
33,34,MAHARASHTRA,THANE CITY,AMBERNATH,2023,42,17-01-2023 23:19,"Indian Penal Code 180 - 324,37,506 (2);"
34,35,MAHARASHTRA,THANE CITY,AMBERNATH,2023,41,17-01-2023 15:46,Indian Electricity Act (Reform) 2003 - 135;
35,36,MAHARASHTRA,THANE CITY,AMBERNATH,2023,40,17-01-2023 00:31,"Indian Penal Code 180 - 183,16,149, 337,626;"
36,37,MAHARASHTRA,THANE CITY,AMBERNATH,2023,39,16-01-2023 17:36,"Indian Penal Code 180 - 324,626,652;"
37,38,MAHARASHTRA,THANE CITY,AMBERNATH,2023,38,15-01-2023 13:56,Indian Electricity Act (Reform) 2003 - 135;
38,39,MAHARASHTRA,THANE CITY,AMBERNATH,2023,37,15-01-2023 13:03,Indian Electricity Act (Reform) 2003 - 135;
39,40,MAHARASHTRA,THANE CITY,AMBERNATH,2023,36,15-01-2023 12:12,Indian Electricity Act (Reform) 2003 - 135;
40,41,MAHARASHTRA,THANE CITY,AMBERNATH,2023,34,14-01-2023 14:54,"Indian Penal Code 180 - 370,656;"
41,42,MAHARASHTRA,THANE CITY,AMBERNATH,2023,33,14-01-2023 11:40,Indian Electricity Act (Reform) 2003 - 135;
42,43,MAHARASHTRA,THANE CITY,AMBERNATH,2023,32,13-01-2023 18:51,Indian Penal Code 180 - 379;
43,44,MAHARASHTRA,THANE CITY,AMBERNATH,2023,31,13-01-2023 16:04,Indian Electricity Act (Reform) 2003 - 135;
44,45,MAHARASHTRA,THANE CITY,AMBERNATH,2023,30,13-01-2023 13:21,Indian Electricity Act (Reform) 2003 - 135;
45,46,MAHARASHTRA,THANE CITY,AMBERNATH,2023,29,12-01-2023 17:51,Indian Penal Code 180 - 379;
46,47,MAHARASHTRA,THANE CITY,AMBERNATH,2023,28,11-01-2023 11:55,Indian Electricity Act (Reform) 2003 - 135;
47,48,MAHARASHTRA,THANE CITY,AMBERNATH,2023,27,11-01-2023 11:38,Indian Electricity Act (Reform) 2003 - 135;
48,49,MAHARASHTRA,THANE CITY,AMBERNATH,2023,26,11-01-2023 02:22,"The women and muli immoral trade (restrictions) Act, 1956 (Situ Act Restored) - 4,5; Indian Penal Code 180 - 37,360 (2), 370 (3);"
49,50,MAHARASHTRA,THANE CITY,AMBERNATH,2023,25,09-01-2023 14:28,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
50,51,MAHARASHTRA,THANE CITY,AMBERNATH,2023,23,08-01-2023 11:27,Indian Electricity Act (Reform) 2003 - 135;
51,52,MAHARASHTRA,THANE CITY,AMBERNATH,2023,22,07-01-2023 11:34,Indian Electricity Act (Reform) 2003 - 135;
52,53,MAHARASHTRA,THANE CITY,AMBERNATH,2023,21,07-01-2023 11:10,Indian Electricity Act (Reform) 2003 - 135;
53,54,MAHARASHTRA,THANE CITY,AMBERNATH,2023,20,07-01-2023 03:01,"Indian Penal Code 180 - 324,507;"
54,55,MAHARASHTRA,THANE CITY,AMBERNATH,2023,19,07-01-2023 02:50,"Indian Penal Code 180 - 323,326,34;"
55,56,MAHARASHTRA,THANE CITY,AMBERNATH,2023,18,06-01-2023 23:48,"Indian Penal Code 180 - 323,326,34,507;"
56,57,MAHARASHTRA,THANE CITY,AMBERNATH,2023,17,06-01-2023 23:23,"Maharashtra Darubandi Act, 1979 - 65 (E);"
57,58,MAHARASHTRA,THANE CITY,AMBERNATH,2023,16,06-01-2023 12:10,Indian Electricity Act (Reform) 2003 - 135;
58,59,MAHARASHTRA,THANE CITY,AMBERNATH,2023,15,06-01-2023 11:48,Indian Electricity Act (Reform) 2003 - 135;
59,60,MAHARASHTRA,THANE CITY,AMBERNATH,2023,14,06-01-2023 04:56,"Indian Penal Code 180 - 183,16,16,149, 307,323,326,626,506,506;"
60,61,MAHARASHTRA,THANE CITY,AMBERNATH,2023,12,05-01-2023 16:10,Indian Penal Code 180 - 379;
61,62,MAHARASHTRA,THANE CITY,AMBERNATH,2023,11,05-01-2023 11:52,Indian Electricity Act (Reform) 2003 - 135;
62,63,MAHARASHTRA,THANE CITY,AMBERNATH,2023,10,04-01-2023 20:47,"Indian Penal Code 180 - 323,326,507,507;"
63,64,MAHARASHTRA,THANE CITY,AMBERNATH,2023,9,04-01-2023 17:55,"Maharashtra Darubandi Act, 1979 - 65 (E);"
64,65,MAHARASHTRA,THANE CITY,AMBERNATH,2023,8,04-01-2023 07:02,"Indian Penal Code 180 - 189, 242,263,326;"
65,66,MAHARASHTRA,THANE CITY,AMBERNATH,2023,7,03-01-2023 13:42,Indian Electricity Act (Reform) 2003 - 135;
66,67,MAHARASHTRA,THANE CITY,AMBERNATH,2023,6,03-01-2023 01:50,"Indian Penal Code 180 - 332,353;"
67,68,MAHARASHTRA,THANE CITY,AMBERNATH,2023,5,02-01-2023 19:19,"Establishment Act, 1959 - 25,4; Maharashtra Police Act, 1951 - 135,142,37 (1);"
68,69,MAHARASHTRA,THANE CITY,AMBERNATH,2023,4,02-01-2023 19:19,Indian Penal Code 180 - 373;
69,70,MAHARASHTRA,THANE CITY,AMBERNATH,2023,3,02-01-2023 17:43,"Indian Penal Code 180 - 306,306;"
70,71,MAHARASHTRA,THANE CITY,AMBERNATH,2023,2,01-01-2023 21:34,"Indian Penal Code 180 - 370, 656,656;"
71,72,MAHARASHTRA,THANE CITY,AMBERNATH,2023,1,01-01-2023 09:12,"Indian Penal Code 180 - 323,326,34,506 (2), 507;"
72,73,MAHARASHTRA,THANE CITY,BADLAPUR,2023,39,01-02-2023 15:18,Indian Penal Code 180 - 304 -A;
73,74,MAHARASHTRA,THANE CITY,BADLAPUR,2023,38,29-01-2023 19:08,"Indian Penal Code 170 - 37,360;"
74,75,MAHARASHTRA,THANE CITY,BADLAPUR,2023,37,29-01-2023 17:08,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134,184;"
75,76,MAHARASHTRA,THANE CITY,BADLAPUR,2023,36,28-01-2023 22:42,"Indian Penal Code 180 - 249, 323,626,507; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
76,77,MAHARASHTRA,THANE CITY,BADLAPUR,2023,35,28-01-2023 16:52,"Indian Penal Code 180 - 370, 656,656;"
77,78,MAHARASHTRA,THANE CITY,BADLAPUR,2023,33,27-01-2023 22:33,Indian Penal Code 180 - 373;
78,79,MAHARASHTRA,THANE CITY,BADLAPUR,2023,32,25-01-2023 21:19,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
